"","State","V1","V2","V3","V4","pctIn","MnIncome","MnIncomeIn","hhOut","MnIncomeOut","pctOut","deltaPct","deltaInc","Market.Pension.Debt.Household","Highest.Marg..Tax.Rate","State_Local.Sales.Tax","AvgWinterTemp","TAX_PROP","Estate","InherTax","MERICCOLIndex","StatePop","StateSpending","StateOpDef","totalPerwt","meanIncomeAll","pctRetiree","dolOut","dolIn","netDolvStSpend","netDolvOpInc","deathTax"
"25","Virginia",7108767,310935972408,99343,4316218483,0.0139747160091194,43739.7895314335,43447.6357971875,109155,52256.1182905043,0.0153549835013583,-0.00138026749223881,-8808.48249331681,36055,0.0575,0.0563,36.8,0.093,NA,NA,100.8,8411808,36257,1255066000,33501475,40767.3544939141,0.212192657188975,1432208355.02671,1083749332.38155,-0.0016018011356205,-0.0462736651093986,NA
"26","Indiana",5756185,172607052126,56394,1785876630,0.00979711388706235,29986.3628646404,31667.8481753378,66058,30248.7398346907,0.0114760036378261,-0.00167888975076374,1419.10834064708,19686,0.033,0.07,29.4,0.095,NA,NA,89.5,6633053,19037,1185900000,26265735,30705.0979085108,0.219151872201558,504610887.307154,450998776.095601,-0.000469367645563489,-0.00753465879803705,NA
"27","Minnesota",4463668,152123124813,44708,1452825584,0.0100159778908288,34080.2955804509,32495.8751006531,52277,35484.4205291046,0.0117116685201498,-0.001695690629321,-2988.54542845145,43490,0.0985,0.0727,12.4,0.108,1,NA,100.8,5519952,24613,2056789000,21775000,38923.083413364,0.204990493685419,470246435.18372,368290584.985165,-0.000690392950869832,-0.0082617330702173,1
"28","Rhode Island",948757,33463143567,11909,576350080,0.0125522130535005,35270.5103277235,48396.1776807457,13856,39700.2872401848,0.0146043718254516,-0.00205215877195109,8695.8904405609,40098,0.0599,0.07,31.4,0.108,1,NA,120.7,1056426,5997,291305000,4388100,36146.6682582439,0.216211344317586,132432350.953415,138755089.814289,0.000175719494771657,0.00361747930912833,1
"29","California",26590880,1035553628476,214248,8589627001,0.0080571985583027,38943.9397446042,40091.9821935327,273253,39837.9077924122,0.0102761924389114,-0.00221899388060869,254.074401120568,92748,0.133,0.0848,46.2,0.11,NA,NA,135.9,39250017,158996,9.775e+09,153993184,36551.0276479769,0.172675694529441,2774596354.31379,2189337196.9821,-0.000613494634384607,-0.00997884326226241,NA
"30","Ohio",11079888,346454177631,88017,2840920710,0.00794385286205059,31268.7436579684,32276.9545655953,114507,36857.3622573292,0.0103346712529946,-0.00239081839094402,-4580.40769173396,50756,0.0533,0.0714,29.5,0.098,NA,NA,93.8,11614373,48593,2937667000,46960673,32140.2720043003,0.235939719177364,1043801087.57408,702620100.639632,-0.00117019936662497,-0.0193566860445406,NA
"31","West Virginia",2138245,58340780478,24492,728014230,0.0114542533713396,27284.4227289202,29724.5725134738,29920,33572.0846590909,0.0139927838016691,-0.00253853043032955,-3847.51214561712,26539,0.065,0.062,32.8,0.098,NA,NA,93.4,1831102,19044,242118000,7673312,27403.1721837976,0.278659984111163,239700852.512428,173727891.239332,-0.000577373112030879,-0.0454137798326273,NA
"32","Kansas",2456878,83794826268,33819,1185722337,0.0137650302538425,34106.2219076405,35060.8337620864,40338,37109.0320045615,0.0164183976575149,-0.00265336740367247,-2048.19824247505,34346,0.046,0.086,31.9,0.095,NA,NA,89.9,2907289,11161,78757000,11451879,34120.4891802472,0.214539290888421,380019114.760594,301019379.214048,-0.00117969918386265,-0.167180347030626,NA
"33","Vermont",614796,20924757970,8673,330792660,0.0141071184588058,34035.286452742,38140.511933587,10329,31911.9440410495,0.016800694864638,-0.00269357640583218,6228.56789253753,24326,0.0895,0.0617,19.4,0.103,1,NA,121.1,624594,3412,168400000,2636476,34826.5871712847,0.233188544102051,78088220.2800936,78366391.6076005,1.3587892121282e-05,0.0002753081230274,1
"34","Pennsylvania",12583700,401771265609,96286,3278750965,0.00765164458783982,31927.9119503008,34052.2086803897,133038,36607.5967467942,0.0105722482258795,-0.00292060363803969,-2555.38806640448,48405,0.0307,0.0634,28.4,0.102,NA,1,101.4,12784227,46900,-711679000,52735683,34428.1765345867,0.238618318454319,1180638182.86443,794837465.422209,-0.00137100468174207,-0.0903498902928192,1
